issue,Gambit_Costume,Gambit_Non-Costume,Magneto_Costume,Magneto_Non-Costume,Nightcrawler_Costume,Nightcrawler_Non-Costume,Storm_Costume,Storm_Non-Costume,Wolverine_Costume,Wolverine_Non-Costume
124,2.869272864862602e-16,9.39486837684607e-18,-0.28457633965728757,0.2475848268952895,14.139940072253726,1.6698328302134116,16.023673065869655,4.542416540254714,17.721839698920014,3.169013788425251
125,3.9336597742930264e-16,1.3191069595543486e-17,-0.1971441013544504,0.25987359017113515,14.779192115624827,1.2650455463725443,15.969818343637852,3.8104842418786515,18.22914026637351,2.832777450689793
126,5.0130131941046545e-16,1.72009625320818e-17,-0.08517501239182816,0.2381521963998628,15.14769447825655,0.91529633711439,15.60095620824604,3.360206694875227,18.482531774271905,2.703438845914803
127,5.888052393682351e-16,2.0731567304876597e-17,0.022750316377363924,0.19355813744752573,15.215831902136895,0.6452787135078717,14.926420569948078,3.2112459519473955,18.346211060214586,2.7770588639497746
128,6.267988180793105e-16,2.2842932539339708e-17,0.10641603433637145,0.1412136054708733,15.030085717791248,0.4663433192455935,14.011909676692541,3.3256125929273423,17.769811846067782,3.0067357195859876
129,5.690542391262e-16,2.1991323089517027e-17,0.16230927702565984,0.09055743438378308,14.786168363594827,0.3700463812038509,13.05262380124634,3.567154436821267,17.031975126567914,3.2604021738081657
130,3.6091137341469727e-16,1.6321885556474e-17,0.19436494111345873,0.04895232894126892,14.66865747558359,0.3404936964613239,12.259499859370068,3.7841728769142438,16.466277730058337,3.4003124638742244
131,-6.88702616620732e-17,3.339077300720345e-18,0.2196059816218299,0.021139835505762886,14.66836037258662,0.35178375972255066,11.776919313980686,3.860946364432817,16.297032546439926,3.351172185941395
132,-7.951797168274909e-16,-1.963728790660969e-17,0.25552013336176144,0.011049091255861511,14.747331615363338,0.3760727668432164,11.682749191020228,3.7337035066792934,16.64143289914288,3.093300179775166
133,-1.8909199617583114e-15,-5.53852814113289e-17,0.3083661919461133,0.021980755027400708,14.946385049601368,0.38775502065774,11.855354221374649,3.51049647731757,17.297457784157128,2.767016900674713
134,-3.414738821897175e-15,-1.0630449704462796e-16,0.3806146171321779,0.056928920848050485,15.302227770133632,0.3685716464802001,12.129196614400202,3.3390787044412242,18.028334132697577,2.5334139376687244
135,-5.370249626796945e-15,-1.7318273346226398e-16,0.47081146445310657,0.1182899018555768,15.756380583446132,0.32741295256458625,12.36263078839046,3.35418506750097,18.77749494431928,2.4766657991702097
136,-7.708218705688667e-15,-2.5514434221404137e-16,0.569274762289907,0.2074128896553211,16.22569005953388,0.2792828398430238,12.436122584295266,3.6635899009131996,19.507287481823397,2.6454928781305966
137,-1.022305888240599e-14,-3.462716816013915e-16,0.6373348346391535,0.3220563706128338,16.623492110774794,0.23649039702026964,12.294691324752295,4.280243907599932,20.075509992655313,3.0237161862706605
138,-1.2595669919121726e-14,-4.368657961134658e-16,0.6420002045764576,0.45687402518791154,16.863447964657,0.21067234620817765,11.953268070322563,5.175666142455958,20.32621090338128,3.5742351365695404
139,-1.4209252836762913e-14,-5.071444682386778e-16,0.6019798958780179,0.5976910154571323,16.864030766726454,0.21347075537435614,11.641877351572663,6.250472699761581,20.152988372406828,4.241162128270502
140,-1.4269117318472973e-14,-5.311119713130096e-16,0.561872934994003,0.7232655240299498,16.57781485618268,0.25729285759526177,11.587424635627173,7.385846759773215,19.512707570555932,4.9321683953759825
141,-1.1566706437506716e-14,-4.680018040634565e-16,0.6181378583698721,0.7929163340305357,16.088967428781608,0.35760120052698824,11.789245665837008,8.456142807266222,18.565751986487058,5.427947524660999
142,-4.705724748597766e-15,-2.699455824949674e-16,0.8725333220186373,0.7758073678428357,15.550795589512115,0.5275048886069499,12.207609020073843,9.37176394501697,17.56106360518834,5.535175321643206
143,8.047210657716186e-15,1.2456183366670623e-16,1.3961589502282299,0.6999225043751619,15.261573223738598,0.7676439388181948,12.87408433806605,10.194136443286872,16.898300079132284,5.291434114038208
144,2.8451297065119e-14,7.795322377929508e-16,2.2411799292343795,0.6048447988600859,15.486741214111719,1.0810234962161884,13.827296681767574,11.012056159875574,16.934118241872756,4.8058448935728535
145,5.803190178998487e-14,1.7553672793645044e-15,3.4146827247890985,0.5177340553028393,16.215441652051826,1.492578305600431,15.062791740177884,11.872774135250523,17.7024559838049,4.242776785821001
146,9.783363797531433e-14,3.098793263126121e-15,4.895220827048344,0.45904594612689886,17.3254322954056,2.029109613736997,16.576064728314844,12.791935944786555,19.10859809021944,3.7605020766699164
147,1.4721193203792277e-13,4.8054452587692595e-15,6.592294544267579,0.4348428686560573,18.525232358955414,2.702955075514229,18.40548833822429,13.700310120820218,20.86593586914818,3.4376575594134726
148,2.0402835408744267e-13,6.82320767761528e-15,8.321507555054769,0.44220990580477315,19.48752480815675,3.503151377472981,20.490042678253758,14.537359050122689,22.613026489504218,3.3280135642833026
149,2.6185823573096314e-13,8.960053532558576e-15,9.591930201328486,0.4567161579498525,19.91088615422196,4.339994924641936,22.328260044929692,15.3621975802421,23.880984040984938,3.4655100618554644
150,3.1129892252783395e-13,1.0923747289041262e-14,9.941941603628315,0.45613483953158623,19.59054011066435,5.0943149529506355,23.452104801311073,16.180724538552905,24.25649318849346,3.8791614395210443
151,3.3532205434899997e-13,1.2161130621123629e-14,9.333689333667522,0.4485716037818598,18.682405654444374,5.607812303444339,23.967717388408445,16.66632221095809,23.655963976971957,4.598110111586807
152,3.125509849381411e-13,1.1965259848617972e-14,7.9112188385757225,0.4573991162812271,17.46236890473664,5.740761199771859,24.106658897566625,16.52014775656315,22.183010697094605,5.617196672345446
153,2.118416292182836e-13,9.274972665726477e-15,6.12239861597425,0.5367256532133257,16.325489286125194,5.46685779088047,24.027996943515866,15.886974368755046,20.36033924242474,6.7939264091177005
154,-1.9359808877126124e-15,2.8729710295323246e-15,4.415762404768241,0.7421021126633841,15.613730572624283,4.832095862111362,23.805961023810738,15.036238996700902,18.7187688235715,8.021680988379945
155,-3.700879066369983e-13,-8.7283674257472e-15,2.9386818585063805,1.1041142697199129,15.337500630559473,4.058237819082913,23.24792164391743,14.29241757840698,17.402480316438197,9.474682900203023
156,-9.327732257477831e-13,-2.702081424741454e-14,1.7501296521216518,1.6396870123633782,15.377891944143338,3.3816389496161854,22.179896942345355,13.939585663788165,16.45731002098627,11.317345917628684
157,-1.7193869886024913e-12,-5.3242413385984816e-14,0.8566446314407073,2.336066803138778,15.430291376825195,2.9212574500657977,20.76935458186512,14.045178261554502,15.922354268115567,13.394008121987726
158,-2.744120245711314e-12,-8.818032239275412e-14,0.24319391961175918,3.155963352248805,15.189711134588086,2.7443658097876096,19.21167763818872,14.534207020120483,15.774105531918158,15.488971617772199
159,-3.971112075431166e-12,-1.3107188081892522e-13,-0.13910842182426977,3.993617785962283,14.535370414313252,2.828890781608947,17.47246131453266,14.978630687923088,15.745380828316769,17.466470293829857
160,-5.323081494733868e-12,-1.7981288532509813e-13,-0.34599459064112476,4.696913089006314,13.474031194838927,3.11573076106131,15.552440589124469,14.96002365032697,15.606014666043558,19.150320567946274
161,-6.607119247204082e-12,-2.284827790095533e-13,-0.42672876026385914,4.996768263874943,12.338419591933112,3.4870164510214434,13.82269741273122,14.451475740385055,15.517586983237853,20.122737189302555
162,-7.553304633809079e-12,-2.6854345496688597e-13,-0.4260123460132343,4.693474110830202,11.497261272914367,3.832233493643716,12.684951740324994,13.55117840193336,15.707445989936861,19.96671332852693
163,-7.699299458433723e-12,-2.8480295983926956e-13,-0.37676375514153343,3.9817726034391403,11.137315974373788,4.12905498084773,12.29312857115829,12.466214074251969,16.274267554362172,18.50995751064055
164,-6.478589054668955e-12,-2.583318569067918e-13,-0.30616881891651465,3.12582109555622,11.332795625349378,4.37285187663599,12.680077953036756,11.387457015239702,17.160721456063253,15.814485721901503
165,-3.1003703720124937e-12,-1.6190462245361858e-13,-0.23026607273630884,2.272987288880539,11.889686855394274,4.54159918357739,13.64214508369821,10.332057761826212,17.814125461716653,12.634828439122666
166,3.3048514346879107e-12,3.4958571829340276e-14,-0.1606428090565226,1.524952322651955,12.563424684955988,4.62199800841652,14.935744449393995,9.30809226650031,17.70213336623878,9.76254707043274
167,1.369705000509162e-11,3.674586856282946e-13,-0.10222864443228379,0.9174407384286768,13.175462997544498,4.653049836034378,16.39407254049762,8.461061864956564,16.869095090378362,7.44481225866883
168,2.8959185744836092e-11,8.693046834320858e-13,-0.057541593137889216,0.46299646287300933,13.563794933770497,4.67352711319637,17.833164270670583,7.935525883336809,15.583960401477972,5.767648681345751
